"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1999","EARTHQUAKE",4,18243,377879,15901844,1812078587,456075,8
"1999","FIRE",5,0,28,0,0,0,11
"1999","FLOOD",3,4,246,221,0,133,12
"1999","FOREST FIRE",27,0,0,0,1812078587,0,14
"1999","HEAVY RAIN",5,0,231,0,0,0,18
"1999","LANDSLIDE",15,0,203,986,0,0,20
"1999","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1999","ROCKSLIDE",3,0,40,155,0,0,27
"1999","TRAFFIC ACCIDENT",12,140,0,0,0,1167,34
"2000","AVALANCHE",2,0,34,170,0,0,3
"2000","EARTHQUAKE",4,18,8846,0,0,450,8
"2000","FIRE",14,2,214,0,0,14,11
"2000","FLOOD",1,0,6,40,0,0,12
"2000","FOREST FIRE",99,0,0,0,1812078587,0,14
"2000","HEAVY RAIN",2,0,351,0,0,0,18
"2000","LANDSLIDE",15,0,363,1891,0,0,20
"2000","NUCLEAR ACCIDENTS",2,0,0,0,0,0,24
"2000","ROCKSLIDE",3,0,41,249,0,0,27
"2000","TRAFFIC ACCIDENT",7,87,0,38,1190,1243,34
"2001","DRAUGHT",14,0,0,3265,0,0,6
"2001","FIRE",19,3,190,65,0,16,11
"2001","FOG",6,0,0,0,0,0,13
"2001","FOREST FIRE",77,0,0,0,1812078587,0,14
"2001","FROST",4,0,0,0,0,0,15
"2001","HAIL",21,0,0,157,0,0,17
"2001","LANDSLIDE",9,0,119,544,0,0,20
"2001","ROCKSLIDE",8,0,155,532,0,0,27
"2001","STORM",1,0,0,0,0,0,30
"2002","AVALANCHE",11,12,39,442,0,109,3
"2002","EARTHQUAKE",1,42,18268,0,0,4200,8
"2002","FIRE",8,2,65,0,0,25,11
"2002","FLOOD",3,1,45,189,1812078587,33,12
"2002","FOG",3,0,0,0,0,0,13
"2002","FOREST FIRE",25,0,0,0,1812078587,0,14
"2002","FROST",3,0,0,0,0,0,15
